1,Pauly,McLelland,927-322-0614,27137,Male,5,Server,Part-Time
2,Layne,Callington,320-743-1136,29467,Female,1,Delivery Person,Full-Time
3,Audie,Craw,229-851-8734,15786,Female,2,Delivery Person,Full-Time
4,Goddart,Starmer,920-880-9105,59120,Male,2,Server,Part-Time
5,Ophelie,Hatherell,739-633-9074,36907,Female,2,Server,Full-Time
6,Shep,Jelf,173-351-2522,48639,Male,3,Chef,Full-Time
7,Donny,McLoney,120-830-4871,49415,Male,0,Delivery Person,Full-Time
8,Modesty,Pomroy,498-956-6212,24302,Female,5,Server,Part-Time
9,Anna-diana,Astie,703-471-5146,43652,Female,0,Chef,Part-Time
10,Hewie,Danhel,470-131-1006,20396,Male,0,Delivery Person,Part-Time
11,Halsy,Chambers,707-302-3540,44860,Male,2,Delivery Person,Part-Time
12,Inna,Julian,935-502-9446,27803,Female,5,Chef,Full-Time
13,Vonnie,Samper,319-510-3399,12380,Female,0,Server,Part-Time
14,Angelika,Selwin,315-746-4471,34946,Female,2,Delivery Person,Full-Time
15,Burl,de Broke,219-410-1266,16913,Male,5,Server,Part-Time
16,Malvin,Silverwood,474-490-7709,56431,Male,5,Delivery Person,Full-Time
17,Charisse,Penn,163-346-8321,48539,Female,3,Delivery Person,Part-Time
18,Giulio,Charlet,472-904-3656,49224,Male,4,Delivery Person,Full-Time
19,Ron,Bakesef,539-427-8823,31700,Male,1,Delivery Person,Part-Time
20,Derron,De Blase,704-332-1162,19940,Male,5,Chef,Full-Time
21,Jorrie,Davley,672-177-8129,25387,Bigender,0,Server,Part-Time
22,Boycey,Baudin,546-757-3504,39915,Male,2,Delivery Person,Full-Time
23,Brianna,Benedyktowicz,551-607-6107,26149,Female,4,Server,Full-Time
24,Burke,Dougill,791-442-7109,27114,Male,4,Server,Part-Time
25,Nari,Ennion,602-146-0404,29708,Female,3,Delivery Person,Part-Time
26,Neala,Elston,665-338-0210,49101,Female,1,Chef,Full-Time
27,Zachary,Fortey,785-126-2351,34295,Male,3,Delivery Person,Full-Time
28,Valentino,Fillis,402-343-9109,10329,Male,0,Delivery Person,Part-Time
29,Colline,Skellern,720-457-7822,52286,Bigender,3,Chef,Full-Time
30,Cly,Cowsby,597-963-5711,28141,Male,2,Server,Full-Time
31,Tessi,Eade,959-382-1599,50361,Female,2,Server,Part-Time
32,Shaughn,Ife,394-375-9674,25311,Male,3,Delivery Person,Full-Time
33,Shantee,Lochran,933-183-9413,15404,Female,1,Delivery Person,Part-Time
34,Nial,Revie,534-538-5026,10154,Male,0,Chef,Full-Time
35,Cy,Matyasik,979-538-7064,10430,Male,4,Delivery Person,Full-Time
36,Dorie,Lawn,547-623-2924,36786,Male,5,Delivery Person,Part-Time
37,Jackie,Mattinson,168-664-5874,46690,Polygender,1,Delivery Person,Part-Time
38,Murielle,Milstead,166-186-5250,17613,Female,2,Chef,Full-Time
39,Borg,Trowsdall,176-830-5780,18355,Male,0,Delivery Person,Part-Time
